date,language,files,lines,code,comments,blanks
"1998-03-30","Total",0,1371464,938893,241231,191340
"1998-03-30","C",969,676823,491737,98190,86896
"1998-03-30","C++",473,395821,285473,51848,58500
"1998-03-30","C Header",1464,238717,125179,74836,38702
"1998-03-30","Makefile",262,24484,13900,6899,3685
"1998-03-30","Java",144,17422,9624,6000,1798
"1998-03-30","R",23,5464,4446,603,415
"1998-03-30","HTML",25,2616,2073,375,168
"1998-03-30","Module-Definition",30,2362,1301,794,267
"1998-03-30","JavaScript",14,2134,1603,307,224
"1998-03-30","Happy",1,1363,1199,0,164
"1998-03-30","Shell",11,1187,841,248,98
"1998-03-30","Perl",14,779,391,300,88
"1998-03-30","Plain Text",11,623,0,493,130
"1998-03-30","GNU Style Assembly",6,532,412,68,52
"1998-03-30","Assembly",1,379,284,71,24
"1998-03-30","SWIG",3,240,120,51,69
"1998-03-30","Emacs Lisp",3,216,148,58,10
"1998-03-30","INI",2,143,61,57,25
"1998-03-30","Batch",4,97,67,16,14
"1998-03-30","WebAssembly",1,38,30,0,8
"1998-03-30","TCL",1,24,4,17,3
"1998-04-06","Total",0,1371474,938903,241231,191340
"1998-04-06","C",969,676823,491737,98190,86896
"1998-04-06","C++",473,395831,285483,51848,58500
"1998-04-06","C Header",1464,238717,125179,74836,38702
"1998-04-06","Makefile",262,24484,13900,6899,3685
"1998-04-06","Java",144,17422,9624,6000,1798
"1998-04-06","R",23,5464,4446,603,415
"1998-04-06","HTML",25,2616,2073,375,168
"1998-04-06","Module-Definition",30,2362,1301,794,267
"1998-04-06","JavaScript",14,2134,1603,307,224
"1998-04-06","Happy",1,1363,1199,0,164
"1998-04-06","Shell",11,1187,841,248,98
"1998-04-06","Perl",14,779,391,300,88
"1998-04-06","Plain Text",11,623,0,493,130
"1998-04-06","GNU Style Assembly",6,532,412,68,52
"1998-04-06","Assembly",1,379,284,71,24
"1998-04-06","SWIG",3,240,120,51,69
"1998-04-06","Emacs Lisp",3,216,148,58,10
"1998-04-06","INI",2,143,61,57,25
"1998-04-06","Batch",4,97,67,16,14
"1998-04-06","WebAssembly",1,38,30,0,8
"1998-04-06","TCL",1,24,4,17,3
"1998-04-13","Total",0,1436642,981063,252155,203424
"1998-04-13","C",982,680453,495504,97826,87123
"1998-04-13","C++",503,407560,292518,54485,60557
"1998-04-13","C Header",1506,242481,127692,75413,39376
"1998-04-13","HTML",225,27285,17720,4254,5311
"1998-04-13","Makefile",268,26961,15303,7454,4204
"1998-04-13","Java",158,19774,11086,6513,2175
"1998-04-13","JavaScript",85,18505,11878,3329,3298
"1998-04-13","R",23,5464,4446,603,415
"1998-04-13","Module-Definition",34,2487,1331,878,278
"1998-04-13","Happy",1,1363,1199,0,164
"1998-04-13","Shell",11,1187,841,248,98
"1998-04-13","Perl",14,779,391,300,88
"1998-04-13","Plain Text",11,627,0,497,130
"1998-04-13","GNU Style Assembly",6,532,412,68,52
"1998-04-13","Assembly",1,379,284,71,24
"1998-04-13","SWIG",3,240,120,51,69
"1998-04-13","Emacs Lisp",3,216,148,58,10
"1998-04-13","INI",3,190,89,74,27
"1998-04-13","Batch",4,97,67,16,14
"1998-04-13","WebAssembly",1,38,30,0,8
"1998-04-13","TCL",1,24,4,17,3
"1998-04-20","Total",0,1640564,1113897,297421,229246
"1998-04-20","C",998,689519,501983,99062,88474
"1998-04-20","C++",769,540132,385034,78108,76990
"1998-04-20","C Header",1837,281233,144921,91020,45292
"1998-04-20","HTML",520,40060,28770,5150,6140
"1998-04-20","Makefile",327,29815,16616,8490,4709
"1998-04-20","Java",186,24492,13911,7740,2841
"1998-04-20","JavaScript",89,18769,12000,3422,3347
"1998-04-20","R",23,5464,4446,603,415
"1998-04-20","Module-Definition",34,2487,1331,878,278
"1998-04-20","CSS",66,2406,1208,1137,61
"1998-04-20","Happy",1,1363,1199,0,164
"1998-04-20","Shell",11,1187,841,248,98
"1998-04-20","Plain Text",15,1019,0,889,130
"1998-04-20","Perl",15,881,463,319,99
"1998-04-20","GNU Style Assembly",6,532,412,68,52
"1998-04-20","Assembly",1,379,284,71,24
"1998-04-20","SWIG",3,240,120,51,69
"1998-04-20","Emacs Lisp",3,216,148,58,10
"1998-04-20","INI",3,190,89,74,27
"1998-04-20","Batch",5,118,87,16,15
"1998-04-20","WebAssembly",1,38,30,0,8
"1998-04-20","TCL",1,24,4,17,3
"1998-04-27","Total",0,1725624,1176910,309526,239188
"1998-04-27","C",1046,743122,545863,103635,93624
"1998-04-27","C++",779,552908,392793,81334,78781
"1998-04-27","C Header",1912,295595,152562,95342,47691
"1998-04-27","HTML",521,40062,28774,5149,6139
"1998-04-27","Makefile",306,32404,19028,8287,5089
"1998-04-27","Java",193,25681,14774,7908,2999
"1998-04-27","JavaScript",93,18866,12101,3413,3352
"1998-04-27","R",23,5464,4446,603,415
"1998-04-27","Module-Definition",35,2680,1519,864,297
"1998-04-27","CSS",66,2418,1218,1137,63
"1998-04-27","Happy",1,1363,1199,0,164
"1998-04-27","Shell",11,1187,841,248,98
"1998-04-27","Plain Text",17,1079,0,932,147
"1998-04-27","Perl",15,882,464,319,99
"1998-04-27","GNU Style Assembly",8,690,550,68,72
"1998-04-27","Assembly",1,379,284,71,24
"1998-04-27","SWIG",3,240,120,51,69
"1998-04-27","Emacs Lisp",3,216,148,58,10
"1998-04-27","INI",3,190,89,74,27
"1998-04-27","Batch",6,136,103,16,17
"1998-04-27","WebAssembly",1,38,30,0,8
"1998-04-27","TCL",1,24,4,17,3
"1998-05-04","Total",0,1857914,1269735,331873,256306
"1998-05-04","C",1127,847463,622773,117930,106760
"1998-05-04","C++",805,564865,401597,82917,80351
"1998-05-04","C Header",2006,304664,156720,98945,48999
"1998-05-04","HTML",526,40247,28847,5238,6162
"1998-05-04","Makefile",404,37842,21172,10723,5947
"1998-05-04","Java",193,25918,14925,7941,3052
"1998-05-04","JavaScript",98,19168,12286,3527,3355
"1998-05-04","R",23,5464,4446,603,415
"1998-05-04","Module-Definition",35,2680,1519,864,297
"1998-05-04","CSS",68,2464,1235,1165,64
"1998-05-04","Perl",21,1592,845,486,261
"1998-05-04","Happy",1,1363,1199,0,164
"1998-05-04","Shell",11,1188,842,247,99
"1998-05-04","Plain Text",17,1079,0,932,147
"1998-05-04","GNU Style Assembly",8,693,550,68,75
"1998-05-04","Assembly",1,379,284,71,24
"1998-05-04","SWIG",3,240,120,51,69
"1998-05-04","Emacs Lisp",3,216,148,58,10
"1998-05-04","INI",3,191,90,74,27
"1998-05-04","Batch",6,136,103,16,17
"1998-05-04","WebAssembly",1,38,30,0,8
"1998-05-04","TCL",1,24,4,17,3
"1998-05-11","Total",0,1867206,1276652,333007,257547
"1998-05-11","C",1133,848633,623832,117933,106868
"1998-05-11","C++",809,569329,405597,82762,80970
"1998-05-11","C Header",2018,306924,157651,99939,49334
"1998-05-11","HTML",526,40251,28850,5238,6163
"1998-05-11","Makefile",416,39190,21826,11101,6263
"1998-05-11","Java",193,25918,14925,7941,3052
"1998-05-11","JavaScript",98,19196,12538,3443,3215
"1998-05-11","R",23,5464,4446,603,415
"1998-05-11","Module-Definition",35,2680,1519,864,297
"1998-05-11","CSS",68,2482,1253,1163,66
"1998-05-11","Perl",21,1592,845,486,261
"1998-05-11","Happy",1,1363,1199,0,164
"1998-05-11","Shell",11,1188,842,247,99
"1998-05-11","Plain Text",17,1079,0,932,147
"1998-05-11","GNU Style Assembly",8,693,550,68,75
"1998-05-11","Assembly",1,379,284,71,24
"1998-05-11","SWIG",3,240,120,51,69
"1998-05-11","Emacs Lisp",3,216,148,58,10
"1998-05-11","INI",3,191,90,74,27
"1998-05-11","Batch",6,136,103,16,17
"1998-05-11","WebAssembly",1,38,30,0,8
"1998-05-11","TCL",1,24,4,17,3
"1998-05-18","Total",0,1808893,1233361,325707,249825
"1998-05-18","C",1077,782166,575342,108599,98225
"1998-05-18","C++",826,576398,410542,84142,81714
"1998-05-18","C Header",1987,307956,157885,100578,49493
"1998-05-18","HTML",527,40307,28900,5238,6169
"1998-05-18","Makefile",416,39162,21788,11112,6262
"1998-05-18","Java",193,25918,14925,7941,3052
"1998-05-18","JavaScript",98,19197,12539,3443,3215
"1998-05-18","R",23,5464,4446,603,415
"1998-05-18","Module-Definition",35,2680,1519,864,297
"1998-05-18","CSS",68,2478,1251,1163,64
"1998-05-18","Perl",22,1639,858,502,279
"1998-05-18","Happy",1,1363,1199,0,164
"1998-05-18","Shell",11,1188,842,247,99
"1998-05-18","Plain Text",17,1084,0,937,147
"1998-05-18","GNU Style Assembly",8,693,550,68,75
"1998-05-18","Assembly",1,379,284,71,24
"1998-05-18","SWIG",3,240,120,51,69
"1998-05-18","Emacs Lisp",3,216,148,58,10
"1998-05-18","INI",3,191,90,74,27
"1998-05-18","Batch",6,136,103,16,17
"1998-05-18","WebAssembly",1,38,30,0,8
"1998-05-25","Total",0,1829531,1247397,328806,253328
"1998-05-25","C",1079,784750,577238,108950,98562
"1998-05-25","C++",851,590431,421048,85340,84043
"1998-05-25","C Header",2021,311304,159317,101969,50018
"1998-05-25","HTML",527,40332,28752,5221,6359
"1998-05-25","Makefile",422,39498,21954,11211,6333
"1998-05-25","Java",193,25918,14925,7941,3052
"1998-05-25","JavaScript",98,19197,12539,3443,3215
"1998-05-25","R",23,5464,4446,603,415
"1998-05-25","Module-Definition",36,2701,1524,878,299
"1998-05-25","CSS",68,2494,1265,1163,66
"1998-05-25","Perl",24,1884,1023,541,320
"1998-05-25","Happy",1,1363,1199,0,164
"1998-05-25","Shell",11,1188,842,247,99
"1998-05-25","Plain Text",18,1114,0,961,153
"1998-05-25","GNU Style Assembly",8,693,550,68,75
"1998-05-25","Assembly",1,379,284,71,24
"1998-05-25","SWIG",3,240,120,51,69
"1998-05-25","Emacs Lisp",3,216,148,58,10
"1998-05-25","INI",3,191,90,74,27
"1998-05-25","Batch",6,136,103,16,17
"1998-05-25","WebAssembly",1,38,30,0,8
"1998-06-01","Total",0,1940247,1311331,361473,267443
"1998-06-01","C",1158,819388,602303,114072,103013
"1998-06-01","C++",920,624094,444201,91949,87944
"1998-06-01","C Header",2182,349741,172221,122300,55220
"1998-06-01","Makefile",432,41035,22996,11474,6565
"1998-06-01","HTML",530,40832,29225,5221,6386
"1998-06-01","Java",193,25918,14930,7933,3055
"1998-06-01","JavaScript",99,19462,12723,3493,3246
"1998-06-01","R",24,5474,4455,603,416
"1998-06-01","Module-Definition",39,3437,2144,958,335
"1998-06-01","Perl",29,2615,1485,605,525
"1998-06-01","CSS",70,2544,1282,1196,66
"1998-06-01","Happy",1,1363,1199,0,164
"1998-06-01","Plain Text",19,1263,0,1084,179
"1998-06-01","Shell",11,1188,842,247,99
"1998-06-01","GNU Style Assembly",8,693,550,68,75
"1998-06-01","Assembly",1,379,284,71,24
"1998-06-01","SWIG",3,240,120,51,69
"1998-06-01","Emacs Lisp",3,216,148,58,10
"1998-06-01","INI",3,191,90,74,27
"1998-06-01","Batch",6,136,103,16,17
"1998-06-01","WebAssembly",1,38,30,0,8
"1998-06-08","Total",0,2001216,1355532,365102,280582
"1998-06-08","C",1166,825949,607458,114563,103928
"1998-06-08","C++",941,637323,454478,93335,89510
"1998-06-08","C Header",2218,355467,175484,123713,56270
"1998-06-08","HTML",531,74592,53618,5221,15753
"1998-06-08","Makefile",444,42221,23752,11710,6759
"1998-06-08","Java",194,26385,15250,8030,3105
"1998-06-08","JavaScript",99,19472,12744,3493,3235
"1998-06-08","R",24,5476,4457,603,416
"1998-06-08","Module-Definition",39,3437,2144,958,335
"1998-06-08","Perl",29,2666,1509,625,532
"1998-06-08","CSS",70,2508,1260,1182,66
"1998-06-08","Happy",1,1363,1199,0,164
"1998-06-08","Plain Text",19,1263,0,1084,179
"1998-06-08","Shell",11,1201,854,247,100
"1998-06-08","GNU Style Assembly",8,693,550,68,75
"1998-06-08","Assembly",1,379,284,71,24
"1998-06-08","SWIG",3,240,120,51,69
"1998-06-08","Emacs Lisp",3,216,148,58,10
"1998-06-08","INI",3,191,90,74,27
"1998-06-08","Batch",6,136,103,16,17
"1998-06-08","WebAssembly",1,38,30,0,8
"1998-06-15","Total",0,2010833,1361863,366866,282104
"1998-06-15","C",1169,826900,608051,114810,104039
"1998-06-15","C++",949,642130,457739,94138,90253
"1998-06-15","C Header",2226,357010,176281,124177,56552
"1998-06-15","HTML",533,74930,53930,5221,15779
"1998-06-15","Makefile",445,42489,23919,11768,6802
"1998-06-15","Java",194,26385,15250,8030,3105
"1998-06-15","JavaScript",99,19472,12744,3493,3235
"1998-06-15","R",24,5476,4457,603,416
"1998-06-15","Perl",36,4271,2644,804,823
"1998-06-15","Module-Definition",39,3437,2144,958,335
"1998-06-15","CSS",70,2522,1274,1182,66
"1998-06-15","Happy",1,1363,1199,0,164
"1998-06-15","Shell",14,1292,906,260,126
"1998-06-15","Plain Text",19,1263,0,1084,179
"1998-06-15","GNU Style Assembly",8,693,550,68,75
"1998-06-15","Assembly",1,379,284,71,24
"1998-06-15","SWIG",3,240,120,51,69
"1998-06-15","Emacs Lisp",3,216,148,58,10
"1998-06-15","INI",3,191,90,74,27
"1998-06-15","Batch",6,136,103,16,17
"1998-06-15","WebAssembly",1,38,30,0,8
"1998-06-22","Total",0,2048900,1386778,374496,287626
"1998-06-22","C",1183,836482,614729,116369,105384
"1998-06-22","C++",962,656469,467340,96935,92194
"1998-06-22","C Header",2252,362781,179054,126159,57568
"1998-06-22","HTML",547,76557,55369,5225,15963
"1998-06-22","Makefile",452,43038,24207,11930,6901
"1998-06-22","Java",194,26385,15250,8030,3105
"1998-06-22","JavaScript",99,19473,12744,3494,3235
"1998-06-22","Perl",62,8491,5417,1614,1460
"1998-06-22","R",24,5476,4457,603,416
"1998-06-22","Module-Definition",39,3437,2144,958,335
"1998-06-22","CSS",70,2536,1286,1182,68
"1998-06-22","TCL",12,1802,1261,283,258
"1998-06-22","Shell",15,1440,996,278,166
"1998-06-22","Happy",1,1363,1199,0,164
"1998-06-22","Plain Text",19,1277,0,1098,179
"1998-06-22","GNU Style Assembly",8,693,550,68,75
"1998-06-22","Assembly",1,379,284,71,24
"1998-06-22","SWIG",3,240,120,51,69
"1998-06-22","Emacs Lisp",3,216,148,58,10
"1998-06-22","INI",3,191,90,74,27
"1998-06-22","Batch",6,136,103,16,17
"1998-06-22","WebAssembly",1,38,30,0,8
"1998-06-29","Total",0,2294846,1565038,406072,323736
"1998-06-29","C",1198,850186,624821,118213,107152
"1998-06-29","C++",1147,842760,609834,114994,117932
"1998-06-29","C Header",2505,404591,202363,136863,65365
"1998-06-29","HTML",548,76745,55486,5248,16011
"1998-06-29","Makefile",467,45273,25524,12426,7323
"1998-06-29","Java",199,26680,15353,8184,3143
"1998-06-29","JavaScript",102,19716,12867,3576,3273
"1998-06-29","Perl",62,8651,5523,1644,1484
"1998-06-29","R",24,5485,4470,599,416
"1998-06-29","Module-Definition",45,3569,2206,1016,347
"1998-06-29","CSS",70,2536,1286,1182,68
"1998-06-29","TCL",12,1823,1263,301,259
"1998-06-29","Shell",16,1662,1109,350,203
"1998-06-29","Happy",1,1363,1199,0,164
"1998-06-29","Plain Text",20,1280,0,1101,179
"1998-06-29","SWIG",4,873,529,88,256
"1998-06-29","GNU Style Assembly",8,693,550,68,75
"1998-06-29","Assembly",1,379,284,71,24
"1998-06-29","Emacs Lisp",3,216,148,58,10
"1998-06-29","INI",3,191,90,74,27
"1998-06-29","Batch",6,136,103,16,17
"1998-06-29","WebAssembly",1,38,30,0,8
"1998-07-06","Total",0,2298947,1567631,407126,324190
"1998-07-06","C",1199,851416,625781,118355,107280
"1998-07-06","C++",1151,843518,610106,115421,117991
"1998-07-06","C Header",2511,405427,202712,137185,65530
"1998-07-06","HTML",548,76841,55585,5248,16008
"1998-07-06","Makefile",468,45489,25659,12465,7365
"1998-07-06","Java",199,26693,15360,8188,3145
"1998-07-06","JavaScript",104,19901,12983,3623,3295
"1998-07-06","Perl",64,9369,6126,1717,1526
"1998-07-06","R",24,5485,4470,599,416
"1998-07-06","Module-Definition",45,3569,2206,1016,347
"1998-07-06","CSS",70,2582,1332,1182,68
"1998-07-06","TCL",12,1834,1275,301,258
"1998-07-06","Shell",16,1654,1103,350,201
"1998-07-06","Happy",1,1363,1199,0,164
"1998-07-06","Plain Text",20,1280,0,1101,179
"1998-07-06","SWIG",4,873,529,88,256
"1998-07-06","GNU Style Assembly",8,693,550,68,75
"1998-07-06","Assembly",1,379,284,71,24
"1998-07-06","Emacs Lisp",3,216,148,58,10
"1998-07-06","INI",3,191,90,74,27
"1998-07-06","Batch",6,136,103,16,17
"1998-07-06","WebAssembly",1,38,30,0,8
"1998-07-13","Total",0,2356630,1603521,422114,330995
"1998-07-13","C++",1194,872856,626392,124525,121939
"1998-07-13","C",1206,854319,627867,118769,107683
"1998-07-13","C Header",2606,428562,218834,142144,67584
"1998-07-13","HTML",550,76649,55413,5249,15987
"1998-07-13","Makefile",479,46412,26231,12666,7515
"1998-07-13","Java",201,26882,15445,8264,3173
"1998-07-13","JavaScript",110,20507,13284,3821,3402
"1998-07-13","Perl",66,10090,6684,1752,1654
"1998-07-13","R",24,5485,4470,599,416
"1998-07-13","Module-Definition",47,3617,2248,1016,353
"1998-07-13","CSS",70,2594,1342,1182,70
"1998-07-13","TCL",12,1834,1275,301,258
"1998-07-13","Shell",16,1654,1103,350,201
"1998-07-13","Happy",1,1363,1199,0,164
"1998-07-13","Plain Text",20,1280,0,1101,179
"1998-07-13","SWIG",4,873,529,88,256
"1998-07-13","GNU Style Assembly",8,693,550,68,75
"1998-07-13","Assembly",1,379,284,71,24
"1998-07-13","Emacs Lisp",3,216,148,58,10
"1998-07-13","INI",3,191,90,74,27
"1998-07-13","Batch",6,136,103,16,17
"1998-07-13","WebAssembly",1,38,30,0,8
"1998-07-20","Total",0,2413571,1644834,430413,338324
"1998-07-20","C++",1276,921347,663658,129843,127846
"1998-07-20","C",1207,854300,627722,118918,107660
"1998-07-20","C Header",2676,433736,221523,143496,68717
"1998-07-20","HTML",553,76694,55458,5249,15987
"1998-07-20","Makefile",487,47067,26600,12857,7610
"1998-07-20","Java",201,26882,15445,8264,3173
"1998-07-20","JavaScript",112,20649,13394,3850,3405
"1998-07-20","Perl",66,10096,6690,1752,1654
"1998-07-20","R",24,5491,4474,601,416
"1998-07-20","Module-Definition",47,3618,2249,1016,353
"1998-07-20","Shell",19,3321,1985,893,443
"1998-07-20","CSS",70,2648,1428,1178,42
"1998-07-20","Plain Text",23,1999,0,1820,179
"1998-07-20","TCL",12,1834,1275,301,258
"1998-07-20","Happy",1,1363,1199,0,164
"1998-07-20","SWIG",4,873,529,88,256
"1998-07-20","GNU Style Assembly",8,693,550,68,75
"1998-07-20","Assembly",1,379,284,71,24
"1998-07-20","Emacs Lisp",3,216,148,58,10
"1998-07-20","INI",3,191,90,74,27
"1998-07-20","Batch",6,136,103,16,17
"1998-07-20","WebAssembly",1,38,30,0,8
"1998-07-27","Total",0,2437441,1660844,434824,341773
"1998-07-27","C++",1287,934233,673406,131300,129527
"1998-07-27","C",1211,853868,626781,119297,107790
"1998-07-27","C Header",2696,438321,224284,144689,69348
"1998-07-27","HTML",564,77709,56105,5420,16184
"1998-07-27","Makefile",490,47277,26736,12909,7632
"1998-07-27","Java",202,27137,15620,8300,3217
"1998-07-27","JavaScript",114,21046,13662,3939,3445
"1998-07-27","Perl",77,14355,9799,2329,2227
"1998-07-27","R",24,5501,4481,601,419
"1998-07-27","Module-Definition",48,3710,2323,1031,356
"1998-07-27","Shell",19,3329,1990,894,445
"1998-07-27","CSS",70,2668,1448,1178,42
"1998-07-27","Plain Text",25,2563,0,2261,302
"1998-07-27","TCL",12,1834,1275,301,258
"1998-07-27","Happy",1,1363,1199,0,164
"1998-07-27","SWIG",4,873,529,88,256
"1998-07-27","GNU Style Assembly",8,693,550,68,75
"1998-07-27","Assembly",1,379,284,71,24
"1998-07-27","Emacs Lisp",3,216,148,58,10
"1998-07-27","INI",3,192,91,74,27
"1998-07-27","Batch",6,136,103,16,17
"1998-07-27","WebAssembly",1,38,30,0,8
"1998-08-03","Total",0,2536053,1703776,481076,351201
"1998-08-03","C++",1335,960836,692302,134883,133651
"1998-08-03","C",1220,858697,630557,119914,108226
"1998-08-03","C Header",2761,450518,230866,148358,71294
"1998-08-03","HTML",567,78064,56362,5464,16238
"1998-08-03","Java",361,57039,27673,23795,5571
"1998-08-03","Makefile",502,48290,27290,13186,7814
"1998-08-03","Plain Text",26,24515,0,24213,302
"1998-08-03","JavaScript",118,21745,14123,4054,3568
"1998-08-03","Perl",85,15403,10101,2855,2447
"1998-08-03","R",24,5511,4489,603,419
"1998-08-03","Module-Definition",50,3779,2333,1082,364
"1998-08-03","Shell",19,3329,1990,894,445
"1998-08-03","CSS",70,2640,1450,1148,42
"1998-08-03","TCL",12,1851,1287,303,261
"1998-08-03","Happy",1,1363,1199,0,164
"1998-08-03","SWIG",4,873,529,88,256
"1998-08-03","GNU Style Assembly",8,693,550,68,75
"1998-08-03","Assembly",1,379,284,71,24
"1998-08-03","Emacs Lisp",3,216,148,58,10
"1998-08-03","Batch",6,136,103,16,17
"1998-08-03","INI",2,75,47,23,5
"1998-08-03","MSBuild",1,50,50,0,0
"1998-08-03","WebAssembly",1,38,30,0,8
"1998-08-03","XML",1,13,13,0,0
"1998-08-10","Total",0,2551965,1714994,483478,353493
"1998-08-10","C++",1364,971742,699959,136435,135348
"1998-08-10","C",1222,860833,632341,120161,108331
"1998-08-10","C Header",2785,451970,232077,148341,71552
"1998-08-10","HTML",571,78573,56659,5540,16374
"1998-08-10","Java",361,57078,27706,23796,5576
"1998-08-10","Makefile",502,48387,27333,13216,7838
"1998-08-10","Plain Text",28,24793,0,24490,303
"1998-08-10","JavaScript",118,21783,14138,4070,3575
"1998-08-10","Perl",87,15875,10285,3078,2512
"1998-08-10","R",24,5511,4489,603,419
"1998-08-10","Module-Definition",51,3803,2340,1096,367
"1998-08-10","Shell",19,3329,1990,894,445
"1998-08-10","CSS",70,2640,1450,1148,42
"1998-08-10","TCL",12,1851,1287,303,261
"1998-08-10","Happy",1,1363,1199,0,164
"1998-08-10","SWIG",3,834,516,71,247
"1998-08-10","GNU Style Assembly",8,693,550,68,75
"1998-08-10","Assembly",1,379,284,71,24
"1998-08-10","Emacs Lisp",3,216,148,58,10
"1998-08-10","Batch",6,136,103,16,17
"1998-08-10","INI",2,75,47,23,5
"1998-08-10","MSBuild",1,50,50,0,0
"1998-08-10","WebAssembly",1,38,30,0,8
"1998-08-10","XML",1,13,13,0,0
"1998-08-17","Total",0,2572544,1729918,486852,355774
"1998-08-17","C++",1390,982559,708208,137758,136593
"1998-08-17","C",1225,863077,634067,120507,108503
"1998-08-17","C Header",2813,455414,233554,149550,72310
"1998-08-17","HTML",571,78577,56658,5540,16379
"1998-08-17","Java",361,57078,27706,23796,5576
"1998-08-17","Makefile",504,48684,27480,13320,7884
"1998-08-17","Plain Text",29,25073,0,24770,303
"1998-08-17","JavaScript",118,21783,14138,4070,3575
"1998-08-17","Perl",90,19347,13605,3176,2566
"1998-08-17","R",24,5511,4489,603,419
"1998-08-17","Module-Definition",52,3820,2342,1110,368
"1998-08-17","Shell",19,3329,1990,894,445
"1998-08-17","CSS",70,2644,1454,1148,42
"1998-08-17","TCL",12,1851,1287,303,261
"1998-08-17","Happy",1,1363,1199,0,164
"1998-08-17","SWIG",3,834,516,71,247
"1998-08-17","GNU Style Assembly",8,693,550,68,75
"1998-08-17","Assembly",1,379,284,71,24
"1998-08-17","Emacs Lisp",3,216,148,58,10
"1998-08-17","Batch",6,136,103,16,17
"1998-08-17","INI",2,75,47,23,5
"1998-08-17","MSBuild",1,50,50,0,0
"1998-08-17","WebAssembly",1,38,30,0,8
"1998-08-17","XML",1,13,13,0,0
"1998-08-24","Total",0,2603134,1748910,493721,360503
"1998-08-24","C++",1394,987809,712551,137981,137277
"1998-08-24","C",1247,867954,637561,121412,108981
"1998-08-24","C Header",2822,456192,233888,149855,72449
"1998-08-24","HTML",571,78577,56658,5540,16379
"1998-08-24","Java",361,57078,27706,23796,5576
"1998-08-24","Makefile",507,48450,27334,13286,7830
"1998-08-24","Plain Text",32,25230,0,24897,333
"1998-08-24","JavaScript",118,21783,14138,4070,3575
"1998-08-24","Autoconf",254,19546,10857,5288,3401
"1998-08-24","Perl",90,19364,13615,3180,2569
"1998-08-24","R",24,5511,4489,603,419
"1998-08-24","Module-Definition",52,3820,2342,1110,368
"1998-08-24","Shell",20,3448,2061,913,474
"1998-08-24","CSS",70,2644,1454,1148,42
"1998-08-24","TCL",12,1851,1287,303,261
"1998-08-24","Happy",1,1363,1199,0,164
"1998-08-24","SWIG",3,834,516,71,247
"1998-08-24","GNU Style Assembly",8,693,550,68,75
"1998-08-24","Assembly",1,379,284,71,24
"1998-08-24","Emacs Lisp",3,216,148,58,10
"1998-08-24","Batch",6,136,103,16,17
"1998-08-24","Objective-C",3,80,29,32,19
"1998-08-24","INI",2,75,47,23,5
"1998-08-24","MSBuild",1,50,50,0,0
"1998-08-24","WebAssembly",1,38,30,0,8
"1998-08-24","XML",1,13,13,0,0
"1998-08-31","Total",0,2678131,1795576,511927,370628
"1998-08-31","C++",1403,992698,717174,137959,137565
"1998-08-31","C",1288,895744,656044,126599,113101
"1998-08-31","C Header",2869,463216,237521,152152,73543
"1998-08-31","Java",432,86551,43703,33427,9421
"1998-08-31","HTML",578,77441,55752,5641,16048
"1998-08-31","Makefile",534,52623,30409,13708,8506
"1998-08-31","Plain Text",42,25489,0,25077,412
"1998-08-31","JavaScript",118,21783,14138,4070,3575
"1998-08-31","Perl",100,20303,14185,3385,2733
"1998-08-31","Autoconf",257,19128,10502,5281,3345
"1998-08-31","R",24,5513,4491,603,419
"1998-08-31","Module-Definition",59,4304,2808,1110,386
"1998-08-31","Shell",28,3980,2346,1048,586
"1998-08-31","TCL",15,2837,2080,380,377
"1998-08-31","CSS",70,2644,1454,1148,42
"1998-08-31","Happy",1,1363,1199,0,164
"1998-08-31","SWIG",3,834,516,71,247
"1998-08-31","GNU Style Assembly",8,693,550,68,75
"1998-08-31","Assembly",1,379,284,71,24
"1998-08-31","Emacs Lisp",3,216,148,58,10
"1998-08-31","Batch",6,136,103,16,17
"1998-08-31","Objective-C",3,80,29,32,19
"1998-08-31","INI",2,75,47,23,5
"1998-08-31","MSBuild",1,50,50,0,0
"1998-08-31","WebAssembly",1,38,30,0,8
"1998-08-31","XML",1,13,13,0,0
"1998-09-07","Total",0,2764364,1849132,534883,380349
"1998-09-07","C++",1616,1069951,773954,147130,148867
"1998-09-07","C",1309,909463,666136,128477,114850
"1998-09-07","C Header",3036,484136,247954,158908,77274
"1998-09-07","Java",432,86551,43703,33427,9421
"1998-09-07","Makefile",711,61532,31639,18567,11326
"1998-09-07","HTML",586,41223,29671,5641,5911
"1998-09-07","Plain Text",43,25495,0,25078,417
"1998-09-07","JavaScript",118,21778,14133,4070,3575
"1998-09-07","Perl",104,21218,14811,3550,2857
"1998-09-07","Autoconf",258,19340,10657,5315,3368
"1998-09-07","R",24,5513,4491,603,419
"1998-09-07","Module-Definition",62,4347,2837,1111,399
"1998-09-07","Shell",29,4048,2386,1067,595
"1998-09-07","TCL",17,3090,2203,449,438
"1998-09-07","CSS",70,2692,1496,1150,46
"1998-09-07","Happy",1,1363,1199,0,164
"1998-09-07","SWIG",3,834,516,71,247
"1998-09-07","GNU Style Assembly",8,695,552,68,75
"1998-09-07","Assembly",1,379,284,71,24
"1998-09-07","Emacs Lisp",3,216,148,58,10
"1998-09-07","Batch",8,183,143,16,24
"1998-09-07","INI",3,82,54,23,5
"1998-09-07","Objective-C",3,80,29,32,19
"1998-09-07","RPM Specfile",1,54,43,1,10
